name,state,description,tags
Maintenance Allowance To Backward Class Students Under Training In Sainik Schools,Maharashtra,"The scheme “Maintenance Allowance to Backward Class Students Under Training in Sainik School” is a Scholarship Scheme by the Social Justice and Special Assistance Department, Government of Maharashtra.","['Allowance', 'Nomadic Tribes', 'Other Backward Class', 'School', 'Social Welfare', 'Vimukta Jatis']"
Madilu Kit,Karnataka,"The Madilu Programme is a government initiative focused on empowering rural communities through skill development and entrepreneurship opportunities.
It aims to create sustainable livelihoods, reduce poverty, and enhance social and economic well-being in rural areas.","['Entrepreneurship', 'Livelihoods', 'Poverty Reduction', 'Skill Development']"
Gatidhara Scheme,West Bengal,"The scheme “Gatidhara Scheme” was launched by the Transport Department, Government of West Bengal in August 2014 for employment of registered unemployed youth of the State in the transport sector.","['Commercial Vehicle', 'Subsidy', 'Transport Service', 'Unemployed', 'Youth']"
Subsidy Scheme On Establishment Of - 25 Kadaknath/R.I.R. Birds Unit To Scheduled Tribes,Gujarat,"The scheme “Subsidy Scheme on Establishment of - 25 Kadaknath/R.I.R. Birds Unit to Scheduled Tribes” was launched by the Dept. of Agriculture, Farmers Welfare & Co-operation, Govt. of Gujarat to provide employment, nutritious diet and to raise the income of Scheduled Tribe People of Gujarat State.","['Financial Assistance', 'Kadaknath', 'Poultry Farming', 'Rhode Island Red (RIR)', 'Scheduled Tribe', 'Subsidy']"
Maintenance Allowance To Backward Class Students Under Training In Sainik Schools,Maharashtra,"The scheme “Maintenance Allowance to Backward Class Students Under Training in Sainik School” is a Scholarship Scheme by the Social Justice and Special Assistance Department, Government of Maharashtra.","['Allowance', 'Nomadic Tribes', 'Other Backward Class', 'School', 'Social Welfare', 'Vimukta Jatis']"
Shop Construction/Shop Operation Scheme For Rehabilitation Of PwDs,Uttar Pradesh,"The ""Shop Construction/Shop Operation Scheme For Rehabilitation Of PwDs"" Scheme has been started by the Government of Uttar Pradesh and operated by the Department of Empowerment of Persons with Disabilities, Uttar Pradesh.","['Business', 'Empowerment', 'Financial Assistance', 'Loan']"
Incentive To Owners Of Artificial Insemination Born Female Calf Through Pure Breeding In Indigenous Cow,Gujarat,"The scheme “Incentive to Owners of Artificial Insemination Born Female Calf through Pure Breeding in Indigenous Cow” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.","['Artificial Insemination', 'Incentive', 'Indigenous Cow', 'Livestock']"
Legal Aid To Scheduled Castes And Vimukat Jatis Scheme,Haryana,"The scheme “Legal Aid to Scheduled Castes and Vimukat Jatis Scheme” was launched by the Department of Welfare of Schedule Castes and Backward Classes, Haryana on 13th February 1961.","['Court Cases', 'Financial Assistance', 'Legal Aid', 'Scheduled Castes', 'Vimukat Jatis']"
Aapki Beti Hamari Beti,Haryana,"The scheme “Aapki Beti Hamari Beti” was launched by the Department of Women and Child Development, Government of Haryana on 24th August 2015.","['Beti', 'Financial Assistance', 'Girl Child', 'Grant', 'Investment', 'LIC']"
Persons With Disabilities Scheme In Colleges: Higher Education For Persons With Special Needs,Ministry Of Social Justice and Empowerment,"The Persons with Disabilities Act 1995 indicates that differently-abled persons should have access to education at all levels. In the higher education sector, the University Grants Commission (UGC) is supporting universities and colleges in the country to involve in special education activities.","['Education', 'Higher Education', 'Learning', 'Persons With Disablities']"
Chief Minister Ekal Nari Samman Pension Yojana,Rajasthan,"The Rajasthan State government started the ""Chief Minister Ekal Nari Samman Pension Yojana"" scheme for women's support and empowerment.","['Empowerment', 'Financial Assistance', 'Social Welfare']"
Scheme For Study In Abroad,Rajasthan,"In the year 2010-11, Rajasthan Government has taken the initiative to encourage girl child education by starting a scheme to Study Abroad.","['Empowerment', 'Financial Assistance', 'Higher Education', 'Social Welfare']"
Rajiv Gandhi Swavlamban Rojgar Yojna,Delhi,"“Rajiv Gandhi Swavlamban Rozgar Yojna” has been designed, developed, and promoted by the Delhi Khadi & Village Industries Board, with the help of the Government of NCT of Delhi, to provide employment opportunities.","['Artisans', 'Employment', 'Entrepreneurs', 'Skilled Technocrats', 'Trained Professionals', 'Youths']"
Financial Assistance To Destitute Children Scheme,Haryana,"The scheme “Financial Assistance to Destitute Children Scheme (FADCS)” was launched by the Department of Social Justice and Empowerment, Government of Haryana in the year 1984.","['Deprived', 'Destitute Children', 'Financial Assistance', 'Social Welfare']"
Financial Assistance To Non-School Going Disabled Children Scheme,Haryana,"The scheme “Financial Assistance To Non-School Going Disabled Children Scheme” was launched by the Department of Social Justice and Empowerment, Government of Haryana during the years 2008-09.","['Disability', 'Disabled Children', 'Financial Assistance', 'Mentally Retarded', 'School']"
Allowance To Eunuchs Scheme,Haryana,"The scheme “Allowance to Eunuchs Scheme” was launched by the Department of Social Justice and Empowerment, Government of Haryana on 1st June 2006. Under the scheme, the state government provides financial assistance to eunuchs who are living in various parts of the State.","['Allowance', 'Eunuchs', 'Financial Assistance']"
Marriage Incentive Reward Scheme,Uttar Pradesh,The Marriage Incentive Reward scheme for the marriage of disabled persons by the Government of Uttar Pradesh is being operated by the department since the year 1997.,"['Empowerment', 'Financial Assistance', 'Social Welfare', 'Widow Marriage']"
Surgical Grant For The Prevention Of Disability,Uttar Pradesh,"The ""Surgical Grant for the Prevention of Disability"" scheme is started by the Government of Uttar Pradesh and operated by the Department of Empowerment of Persons with Disabilities, Uttar Pradesh.","['Empowerment', 'Financial Assistance', 'Medical Support', 'Surgery', 'Treatment']"
Mai Bhago Vidya Scheme,Punjab,The government of Punjab launched Mai BhagoVidya Scheme in the State during 2011-12.,"['Education', 'Free Cycle', 'Girl Empowerment', 'Girl Welfare']"
Marriage Grant Scheme,Uttar Pradesh,"In Uttar Pradesh State, a scheme for the marriage of girls from economically weaker families of the state.","['Financial Assistance', 'Girl Marriage', 'Women Welfare']"
Internship Scheme Of The Ministry Of Labour & Employment,Ministry Of Labour and Employment,"Through the Internship Scheme, the Ministry of Labour & Employment engage eligible students as “Interns"" to work for mutual benefit. The “Interns” shall have an opportunity to know about the Government functioning and Department Policy issues in the Government of India.","['Internship', 'Labour', 'Law', 'Research', 'Student']"
Grant For Purchase Of Tools (HBOCWWB),Haryana,"The scheme “Grant for Purchase of Tools (HBOCWWB)” was launched by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana.","['Construction Worker', 'Financial Assistance', 'Labour', 'Tools']"
Indirect Tax Internship Scheme In Central Board Of Indirect Taxes And Customs (CBIC),Ministry Of Finance,"The ""Indirect Tax Internship Scheme"" by CBIC takes Law Students/ Graduates as Interns every year. The interns are expected to study case files, assist in legal research and drafting of petitions, brief the counsels and extend any other related legal/general assistance to officers/counsels.","['Finance', 'Individual', 'Law', 'Student', 'Tax']"
Devnarayan Pre-Matric Scholarship Scheme,Rajasthan,"In Rajasthan, the Pre-Matriculation scholarship scheme is run by the Department of Social Justice and Empowerment for the educational upliftment of Very Backward Class students.","['Education', 'Financial Assistance', 'Scholarship', 'Student']"
Incentive To Girls,Rajasthan,"Rajasthan State started a scheme ""Incentive for Girls"" for state students.","['Empowerment', 'Financial Assistance', 'Girl Education', 'Higher Education']"
Persons With Disabilities Scheme In Colleges: Financial Assistance To Visually Challenged Teachers,Ministry Of Social Justice and Empowerment,"The Scheme has been formulated to help visually challenged permanent teachers to pursue teaching and research with the help of a Reader and by using teaching and learning aids by way of providing Reader’s Allowance and funds for the purchase of Braille books, recorded materials etc.","['Education', 'Higher Education', 'Learning', 'Persons With Diablities', 'Teachers']"
National AIDS Control Organisation (NACO) Internship Programme,Ministry Of Health & Family Welfare,NACO initiated the Internship Programme for young students who wish to engage with the Government. The internship programme envisages an opportunity for young students to get familiar with and understand the various dimensions of policy-making & implementation of the National AIDS Control Programme.,"['AIDS', 'Health', 'Internship', 'NACO', 'Student']"
National Solar Science Fellowship Programme,Ministry Of New and Renewable Energy,The “National Solar Science Fellowship Programme” of the Ministry of New & Renewable Energy was launched in February 2011. The aim of the National Solar Science Fellowship Programme is to provide a platform to top-quality scientists and engineers in the area of solar energy research.,"['Engineer', 'Fellowship', 'Research', 'Scientist', 'Solar Science']"
Widow B.Ed Scheme-Rajasthan,Rajasthan,"In 2015-16, Rajasthan State started the ""Widow B.Ed Scheme"" for Widow/abandoned women.","['Abandoned Women', 'Empowerment', 'Higher Education', 'Student']"
Summer Internship Scheme Of DGFT,Ministry Of Commerce And Industry,The Summer Internship Scheme by the Directorate General of Foreign Trade is for the interaction of the officers of the Directorate with young scholars and researchers with brilliant academic backgrounds from reputed academic institutions pursuing Studies/Research in Public Policy/Economics/Law etc.,"['Commerce', 'Foreign Trade', 'Internship', 'Public Policy', 'Student']"
